Iteration,seconds
0,124
1,113
2,103
3,99
4,100
5,98
6,99
7,99
8,101
9,98
10,98
11,97
12,97
13,101
14,101
15,101
16,98
17,97
18,100
19,99
20,99
21,98
22,96
23,98
24,97
25,98
26,99
27,98
28,102
29,97
30,95
31,98
32,95
33,95
34,98
35,97
36,100
37,99
38,99
39,96
40,97
41,96
42,95
43,97
44,100
45,99
46,95
47,97
48,97
49,95
50,108
51,94
52,96
53,98
54,96
55,94
56,98
57,95
58,95
59,97
60,96
61,96
62,93
63,95
64,97
65,93
66,95
67,97
68,91
69,97
70,95
71,91
72,96
73,94
74,96
75,95
76,96
77,93
78,93
79,96
80,95
81,94
82,95
83,94
84,94
85,92
86,94
87,94
88,95
89,95
90,96
91,94
92,96
93,95
94,91
95,93
96,90
97,91
98,90
99,92
100,148
101,95
102,93
103,91
104,94
105,92
106,94
107,94
108,93
109,90
110,93
111,96
112,94
113,93
114,92
115,92
116,90
117,92
118,93
119,93
120,92
121,90
122,91
123,88
124,89
125,90
126,89
127,90
128,93
129,93
130,94
131,94
132,93
133,92
134,95
135,94
136,92
137,93
138,88
139,93
140,89
141,91
142,93
143,89
144,90
145,91
146,89
147,92
148,93
149,89
150,106
151,90
152,88
153,88
154,86
155,91
156,91
157,90
158,88
159,94
160,91
161,91
162,89
163,92
164,91
165,89
166,93
167,89
168,87
169,88
170,88
171,90
172,87
173,86
174,87
175,86
176,85
177,89
178,88
179,87
180,91
181,93
182,90
183,90
184,90
185,90
186,89
187,86
188,88
189,89
190,89
191,87
192,88
193,85
194,87
195,85
196,89
197,88
198,87
199,88
200,143
201,89
202,88
203,88
204,86
205,87
206,86
207,86
208,89
209,88
210,88
211,88
212,87
213,89
214,87
215,87
216,87
217,86
218,86
219,84
220,84
221,86
222,85
223,88
224,86
225,86
226,85
227,85
228,87
229,90
230,87
231,89
232,83
233,87
234,87
235,83
236,86
237,86
238,85
239,82
240,86
241,87
242,88
243,83
244,88
245,85
246,85
247,86
248,89
249,87
250,98
251,86
252,85
253,81
254,84
255,82
256,85
257,84
258,83
259,82
260,81
261,85
262,87
263,85
264,85
265,84
266,85
267,85
268,86
269,84
270,86
271,84
272,85
273,86
274,86
275,84
276,85
277,83
278,84
279,83
280,82
281,86
282,84
283,83
284,81
285,84
286,87
287,81
288,82
289,83
290,86
291,84
292,83
293,81
294,85
295,86
296,86
297,83
298,81
299,84
300,136
301,82
302,84
303,81
304,80
305,82
306,80
307,82
308,84
309,83
310,81
311,82
312,85
313,83
314,83
315,81
316,81
317,79
318,84
319,81
320,81
321,82
322,79
323,82
324,78
325,82
326,81
327,83
328,85
329,80
330,80
331,83
332,84
333,82
334,81
335,80
336,84
337,82
338,83
339,81
340,78
341,80
342,80
343,79
344,81
345,82
346,82
347,80
348,86
349,82
350,94
351,80
352,82
353,81
354,82
355,78
356,81
357,81
358,81
359,82
360,78
361,79
362,82
363,77
364,81
365,82
366,82
367,82
368,81
369,82
370,80
371,83
372,82
373,80
374,79
375,79
376,82
377,81
378,79
379,82
380,79
381,79
382,80
383,80
384,78
385,79
386,82
387,82
388,81
389,81
390,80
391,81
392,79
393,77
394,78
395,78
396,79
397,82
398,79
399,81
400,131
401,82
402,79
403,81
404,80
405,77
406,78
407,79
408,79
409,79
410,80
411,82
412,79
413,79
414,79
415,77
416,79
417,79
418,81
419,78
420,80
421,80
422,80
423,78
424,78
425,82
426,78
427,79
428,79
429,80
430,79
431,80
432,77
433,77
434,78
435,76
436,80
437,78
438,78
439,77
440,79
441,76
442,79
443,78
444,78
445,79
446,82
447,79
448,80
449,82
450,95
451,73
452,75
453,76
454,75
455,75
456,75
457,75
458,75
459,75
460,74
461,75
462,75
463,74
464,73
465,74
466,75
467,75
468,75
469,76
470,74
471,72
472,73
473,75
474,74
475,74
476,77
477,75
478,75
479,74
480,73
481,73
482,74
483,73
484,73
485,73
486,76
487,74
488,74
489,76
490,75
491,75
492,76
493,76
494,75
495,74
496,74
497,77
498,76
499,76
500,127
