age,dist_group,main_mode,ref_share,sim_share
0 - 12,0 - 1000,bike,0.08835438432558192,0.01820913992751702
0 - 12,0 - 1000,car,3.432121636877184E-5,
0 - 12,0 - 1000,pt,0.0021749863020563654,0.004331300274021039
0 - 12,0 - 1000,ride,0.02105120038281801,0.002209847078582163
0 - 12,0 - 1000,walk,0.34321425046957743,0.4443560505613013
0 - 12,1000 - 2000,bike,0.08398330004325193,0.11517722973570231
0 - 12,1000 - 2000,car,1.5021968781156898E-4,
0 - 12,1000 - 2000,pt,0.023069594332849337,0.023954742331830644
0 - 12,1000 - 2000,ride,0.05686810841448047,0.021302925837532048
0 - 12,1000 - 2000,walk,0.07347412145528517,0.05330151153540176
0 - 12,2000 - 5000,bike,0.04222757075895273,0.10315566162821536
0 - 12,2000 - 5000,car,6.53604831771567E-5,5.30363298859719E-4
0 - 12,2000 - 5000,pt,0.053969780176005705,0.04446212322107311
0 - 12,2000 - 5000,ride,0.08856585531656834,0.04490409263678955
0 - 12,2000 - 5000,walk,0.00840865282592746,9.723327145761516E-4
0 - 12,5000 - 10000,bike,0.003894711632678419,0.02103774418810219
0 - 12,5000 - 10000,car,5.59984143655361E-5,
0 - 12,5000 - 10000,pt,0.027944778352320458,0.03394325112702202
0 - 12,5000 - 10000,ride,0.04558406298643193,0.03191019181472643
0 - 12,5000 - 10000,walk,9.301529133672707E-4,1.76787766286573E-4
0 - 12,10000 - 20000,bike,7.862395528391246E-5,0.0012375143640060112
0 - 12,10000 - 20000,car,0.0,
0 - 12,10000 - 20000,pt,0.007770578530816593,0.019888623707239466
0 - 12,10000 - 20000,ride,0.01909416912224764,0.007955449482895786
0 - 12,10000 - 20000,walk,4.1902291661824963E-4,
0 - 12,20000+,bike,3.432121636877184E-5,
0 - 12,20000+,car,0.0,2.651816494298595E-4
0 - 12,20000+,pt,0.003135854720564564,0.005480420754883764
0 - 12,20000+,ride,0.005136005853612949,0.0011491204808627246
0 - 12,20000+,walk,3.100131946112742E-4,8.83938831432865E-5
12 - 18,0 - 1000,bike,0.04056261263021196,0.014553014553014554
12 - 18,0 - 1000,car,0.0,
12 - 18,0 - 1000,pt,0.005488585805699482,0.005544005544005545
12 - 18,0 - 1000,ride,0.0022302160066904097,0.0027720027720027724
12 - 18,0 - 1000,walk,0.15042303841024002,0.26652806652806654
12 - 18,1000 - 2000,bike,0.08907039095672503,0.10893970893970895
12 - 18,1000 - 2000,car,0.0,2.772002772002772E-4
12 - 18,1000 - 2000,pt,0.03153953270294179,0.02286902286902287
12 - 18,1000 - 2000,ride,0.008413705601187108,0.015246015246015246
12 - 18,1000 - 2000,walk,0.04486154364307643,0.03437283437283437
12 - 18,2000 - 5000,bike,0.10738683499133327,0.16479556479556481
12 - 18,2000 - 5000,car,2.8289626734024617E-4,1.386001386001386E-4
12 - 18,2000 - 5000,pt,0.1982502098544661,0.06278586278586279
12 - 18,2000 - 5000,ride,0.03226378977585894,0.060845460845460844
12 - 18,2000 - 5000,walk,0.007541953274485528,0.0011088011088011087
12 - 18,5000 - 10000,bike,0.013960272491340348,0.03922383922383923
12 - 18,5000 - 10000,car,2.8289626734024617E-4,1.386001386001386E-4
12 - 18,5000 - 10000,pt,0.1562553953337744,0.05738045738045738
12 - 18,5000 - 10000,ride,0.02888306971933015,0.06375606375606375
12 - 18,5000 - 10000,walk,3.5313985281031237E-4,
12 - 18,10000 - 20000,bike,0.0013847631212960678,0.0026334026334026337
12 - 18,10000 - 20000,car,1.5275765202577116E-4,5.544005544005544E-4
12 - 18,10000 - 20000,pt,0.05580217779174774,0.043243243243243246
12 - 18,10000 - 20000,ride,0.008904701024528817,0.018018018018018018
12 - 18,10000 - 20000,walk,0.0,
12 - 18,20000+,bike,3.7524183370703706E-4,
12 - 18,20000+,car,0.0,8.316008316008316E-4
12 - 18,20000+,pt,0.009923416953924952,0.01108801108801109
12 - 18,20000+,ride,0.004966212655379155,0.002356202356202356
12 - 18,20000+,walk,4.4064538253878513E-4,
18 - 25,0 - 1000,bike,0.023985612357814993,0.012355781032648722
18 - 25,0 - 1000,car,0.0048751521373352445,0.0038458391293674826
18 - 25,0 - 1000,pt,0.003945859978488251,0.007200720072007202
18 - 25,0 - 1000,ride,0.0020741803522305053,0.004336797316095247
18 - 25,0 - 1000,walk,0.1351326848167619,0.17633581539972185
18 - 25,1000 - 2000,bike,0.03396527152384182,0.05007773504623191
18 - 25,1000 - 2000,car,0.009995183869916418,0.00605515096964242
18 - 25,1000 - 2000,pt,0.024513641618001722,0.02962114393257508
18 - 25,1000 - 2000,ride,0.002668199858536688,0.012355781032648722
18 - 25,1000 - 2000,walk,0.0454726308118391,0.02274772931838639
18 - 25,2000 - 5000,bike,0.06318107428470456,0.08231732264135506
18 - 25,2000 - 5000,car,0.023251875706620247,0.015874314704197694
18 - 25,2000 - 5000,pt,0.10942869085194809,0.07037067343097947
18 - 25,2000 - 5000,ride,0.010494962098131746,0.04353162588986172
18 - 25,2000 - 5000,walk,0.015841120495424313,6.546109156370183E-4
18 - 25,5000 - 10000,bike,0.02439195895689575,0.040749529498404394
18 - 25,5000 - 10000,car,0.030544838428725605,0.02176581294493086
18 - 25,5000 - 10000,pt,0.168861347248276,0.10874723836019969
18 - 25,5000 - 10000,ride,0.012529534856484129,0.06398821700351855
18 - 25,5000 - 10000,walk,0.0013350585299964023,4.0913182227313654E-4
18 - 25,10000 - 20000,bike,0.002283609567549982,0.0028639227559119555
18 - 25,10000 - 20000,car,0.023543470141710862,0.020456591113656823
18 - 25,10000 - 20000,pt,0.13983024203024946,0.12543981670894364
18 - 25,10000 - 20000,ride,0.009738847778169045,0.025938957532116853
18 - 25,10000 - 20000,walk,4.604034741650371E-4,2.454790933638819E-4
18 - 25,20000+,bike,3.5986747432398253E-4,1.6365272890925457E-4
18 - 25,20000+,car,0.019844536404905074,0.009000900090009003
18 - 25,20000+,pt,0.05191307482568159,0.039685786760494245
18 - 25,20000+,ride,0.005441470777446019,0.0024547909336388187
18 - 25,20000+,walk,9.559874382553338E-5,4.0913182227313654E-4
25 - 35,0 - 1000,bike,0.027106712812148912,0.016498437259824767
25 - 35,0 - 1000,car,0.005799403954703484,0.0035866167956140798
25 - 35,0 - 1000,pt,0.0012793413488256476,0.009017779371829685
25 - 35,0 - 1000,ride,9.365409275199194E-4,0.0036890915612030535
25 - 35,0 - 1000,walk,0.22308917916513982,0.23277143003535375
25 - 35,1000 - 2000,bike,0.03887928821157382,0.042885689398985495
25 - 35,1000 - 2000,car,0.015574030733198636,0.008249218629912384
25 - 35,1000 - 2000,pt,0.014062407046561292,0.03407285955833376
25 - 35,1000 - 2000,ride,0.0027015671389454213,0.012399446636265818
25 - 35,1000 - 2000,walk,0.052768578676936344,0.025721166162832397
25 - 35,2000 - 5000,bike,0.06756351305973911,0.08151867602602858
25 - 35,2000 - 5000,car,0.034191942712571796,0.01757442229850899
25 - 35,2000 - 5000,pt,0.07993094118194077,0.07424296766921144
25 - 35,2000 - 5000,ride,0.006927040925022772,0.03730081467438643
25 - 35,2000 - 5000,walk,0.014527745750548078,0.0011784598042731977
25 - 35,5000 - 10000,bike,0.045197832270416655,0.03771071373674233
25 - 35,5000 - 10000,car,0.040923114642814944,0.021109801711328584
25 - 35,5000 - 10000,pt,0.1171130342590929,0.09007531895270789
25 - 35,5000 - 10000,ride,0.007459596516540124,0.057744530409386687
25 - 35,5000 - 10000,walk,0.0011933932411686545,5.123738279448686E-4
25 - 35,10000 - 20000,bike,0.010371145878011872,0.0036890915612030535
25 - 35,10000 - 20000,car,0.03712292596737467,0.016344725111441305
25 - 35,10000 - 20000,pt,0.08308853196758968,0.0962238048880463
25 - 35,10000 - 20000,ride,0.004273422149218089,0.025311267100476504
25 - 35,10000 - 20000,walk,4.695910455690704E-4,1.5371214838346057E-4
25 - 35,20000+,bike,8.650285684158124E-4,
25 - 35,20000+,car,0.02253131207868767,0.009427678434185582
25 - 35,20000+,pt,0.0408167755116256,0.03842803709586514
25 - 35,20000+,ride,0.0030800427147738116,0.0025106317569298557
25 - 35,20000+,walk,1.5601954332448124E-4,5.123738279448685E-5
35 - 66,0 - 1000,bike,0.04033277150806345,0.014749262536873158
35 - 66,0 - 1000,car,0.01257661515762158,0.005402346161761679
35 - 66,0 - 1000,pt,0.002627358555652047,0.00807779378472937
35 - 66,0 - 1000,ride,0.0012742924964107107,0.003310008918158744
35 - 66,0 - 1000,walk,0.2065201992488169,0.2367256637168142
35 - 66,1000 - 2000,bike,0.04607701204034772,0.048003704465939497
35 - 66,1000 - 2000,car,0.028801869123512333,0.009415517596213214
35 - 66,1000 - 2000,pt,0.014894709162723202,0.03267133154970159
35 - 66,1000 - 2000,ride,0.003931427250738329,0.01251972285106675
35 - 66,1000 - 2000,walk,0.043267826623570024,0.028846813473279827
35 - 66,2000 - 5000,bike,0.06163162187857759,0.07451807642176032
35 - 66,2000 - 5000,car,0.06587612217476325,0.017270357412361943
35 - 66,2000 - 5000,pt,0.0539705212914723,0.06933868422857928
35 - 66,2000 - 5000,ride,0.008515244305250141,0.037216162447691575
35 - 66,2000 - 5000,walk,0.01261322076311258,0.001457775948411882
35 - 66,5000 - 10000,bike,0.03491374943567429,0.032534129107498116
35 - 66,5000 - 10000,car,0.07107640811792383,0.020700418467448724
35 - 66,5000 - 10000,pt,0.07403986112593336,0.09005625300130343
35 - 66,5000 - 10000,ride,0.007014452717553144,0.04894697125608836
35 - 66,5000 - 10000,walk,0.001690553676042388,2.9155518968237634E-4
35 - 66,10000 - 20000,bike,0.010619744339555917,0.0035329628867393848
35 - 66,10000 - 20000,car,0.06001064856690113,0.01989435411950333
35 - 66,10000 - 20000,pt,0.07015337993949033,0.10640049392879196
35 - 66,10000 - 20000,ride,0.005030049561820384,0.024404884406942447
35 - 66,10000 - 20000,walk,4.717166408375983E-4,3.087054949578103E-4
35 - 66,20000+,bike,8.989376281988116E-4,3.4300610550867805E-5
35 - 66,20000+,car,0.03165819643378093,0.012279618577210676
35 - 66,20000+,pt,0.026532505566443435,0.03764492007957742
35 - 66,20000+,ride,0.002739991681456011,0.003395760444535913
35 - 66,20000+,walk,2.3899298775612214E-4,5.1450915826301714E-5
66+,0 - 1000,bike,0.028917781379748875,0.012395864699387738
66+,0 - 1000,car,0.01756905891685044,0.0038141122151962277
66+,0 - 1000,pt,0.008273204993617672,0.008782495232359733
66+,0 - 1000,ride,0.004628191849485549,0.0026096557261868925
66+,0 - 1000,walk,0.2851630822571291,0.34126267188597825
66+,1000 - 2000,bike,0.02854964969272559,0.05465221318879857
66+,1000 - 2000,car,0.03882086040651397,0.0089330522934859
66+,1000 - 2000,pt,0.0331697357735842,0.03944595001505572
66+,1000 - 2000,ride,0.011117551434265606,0.011191408210378404
66+,1000 - 2000,walk,0.06845936405951983,0.03959650707618189
66+,2000 - 5000,bike,0.022205536519422444,0.08812606644584968
66+,2000 - 5000,car,0.08261732385978052,0.018267590083308246
66+,2000 - 5000,pt,0.0650551591678631,0.08185285556559273
66+,2000 - 5000,ride,0.023067556374726784,0.02549432901736426
66+,2000 - 5000,walk,0.01871777257889785,0.0010037137408411125
66+,5000 - 10000,bike,0.0060053800450549635,0.030814011843822153
66+,5000 - 10000,car,0.0627074379519613,0.01570812004416341
66+,5000 - 10000,pt,0.05292597833638581,0.06654622101776576
66+,5000 - 10000,ride,0.0172732713428096,0.02785305630834087
66+,5000 - 10000,walk,0.0020729972598010397,1.0037137408411124E-4
66+,10000 - 20000,bike,0.0020118745335472974,0.0036133694670280048
66+,10000 - 20000,car,0.03570337079193992,0.0160594198534578
66+,10000 - 20000,pt,0.03652161682334497,0.0637860082304527
66+,10000 - 20000,ride,0.011929475838790412,0.01194419351600924
66+,10000 - 20000,walk,9.657233478543096E-4,
66+,20000+,bike,2.5574980638623377E-4,5.018568704205562E-5
66+,20000+,car,0.01651491485906698,0.008230452674897122
66+,20000+,pt,0.012176960792435333,0.016310348288668078
66+,20000+,ride,0.006529537524723665,0.0015557562983037243
66+,20000+,walk,7.388148176658781E-5,
