car_avail,dist_group,main_mode,ref_share,sim_share
yes,0 - 1000,bike,0.03299714650207198,
yes,0 - 1000,car,0.017027002619882436,
yes,0 - 1000,pt,0.0014471501672696082,
yes,0 - 1000,ride,0.00617094972141444,
yes,0 - 1000,walk,0.19741858334435003,
yes,1000 - 2000,bike,0.037957883407812004,
yes,1000 - 2000,car,0.039452932063681806,
yes,1000 - 2000,pt,0.011451027027536228,
yes,1000 - 2000,ride,0.016419469000596022,
yes,1000 - 2000,walk,0.04651342478512876,
yes,2000 - 5000,bike,0.0409499440886618,
yes,2000 - 5000,car,0.08811056075566345,
yes,2000 - 5000,pt,0.03912717975023306,
yes,2000 - 5000,ride,0.030918137712500925,
yes,2000 - 5000,walk,0.01131504320130612,
yes,5000 - 10000,bike,0.01901762178800475,
yes,5000 - 10000,car,0.08791860269484929,
yes,5000 - 10000,pt,0.04981204154709382,
yes,5000 - 10000,ride,0.021561689336871612,
yes,5000 - 10000,walk,0.0013154378478287686,
yes,10000 - 20000,bike,0.007202583446410027,
yes,10000 - 20000,car,0.07045195617229358,
yes,10000 - 20000,pt,0.04974981506631482,
yes,10000 - 20000,ride,0.011385304137452592,
yes,10000 - 20000,walk,4.945201895780407E-4,
yes,20000+,bike,6.992742746565025E-4,
yes,20000+,car,0.0379890645043587,
yes,20000+,pt,0.019349044042118704,
yes,20000+,ride,0.005583932136757437,
yes,20000+,walk,1.9267866730282113E-4,
no,0 - 1000,bike,0.05634302463139611,
no,0 - 1000,car,1.3584823212312846E-4,
no,0 - 1000,pt,0.004223086048582884,
no,0 - 1000,ride,4.017508303949192E-4,
no,0 - 1000,walk,0.2580471733726987,
no,1000 - 2000,bike,0.07836944366732387,
no,1000 - 2000,car,0.0010390801814425922,
no,1000 - 2000,pt,0.024784889955329632,
no,1000 - 2000,ride,0.0019740253692151506,
no,1000 - 2000,walk,0.061265941398231535,
no,2000 - 5000,bike,0.08306458455031648,
no,2000 - 5000,car,0.0021086321349634155,
no,2000 - 5000,pt,0.11041897753164188,
no,2000 - 5000,ride,0.004147919011818219,
no,2000 - 5000,walk,0.014386694755001182,
no,5000 - 10000,bike,0.023823332264979732,
no,5000 - 10000,car,0.0038866951319225097,
no,5000 - 10000,pt,0.12645143572480808,
no,5000 - 10000,ride,0.003639247377874084,
no,5000 - 10000,walk,0.0013130363910965638,
no,10000 - 20000,bike,0.006499542597368015,
no,10000 - 20000,car,0.002378176502988697,
no,10000 - 20000,pt,0.08983206692289719,
no,10000 - 20000,ride,0.0022721855991376188,
no,10000 - 20000,walk,2.2150032226915124E-4,
no,20000+,bike,1.4531795598704599E-4,
no,20000+,car,0.0011123694286944762,
no,20000+,pt,0.03502771576797685,
no,20000+,ride,0.002328878348815901,
no,20000+,walk,3.574279927041042E-4,
unknown,0 - 1000,bike,0.0476948077956664,
unknown,0 - 1000,car,8.590409073678138E-4,
unknown,0 - 1000,pt,0.00688597187074425,
unknown,0 - 1000,ride,6.475563097244329E-4,
unknown,0 - 1000,walk,0.2739760134916279,
unknown,1000 - 2000,bike,0.05480513945397832,
unknown,1000 - 2000,car,0.0012430677265334647,
unknown,1000 - 2000,pt,0.0332426770551178,
unknown,1000 - 2000,ride,0.0018430079030161135,
unknown,1000 - 2000,walk,0.05955224874154206,
unknown,2000 - 5000,bike,0.07542555862655438,
unknown,2000 - 5000,car,0.0026690299351213747,
unknown,2000 - 5000,pt,0.11282652655099867,
unknown,2000 - 5000,ride,0.004859468679865612,
unknown,2000 - 5000,walk,0.016905290890743573,
unknown,5000 - 10000,bike,0.04066984004201144,
unknown,5000 - 10000,car,0.004056776461767344,
unknown,5000 - 10000,pt,0.1263435642918569,
unknown,5000 - 10000,ride,0.0037836090315891834,
unknown,5000 - 10000,walk,0.0018965482493745291,
unknown,10000 - 20000,bike,0.007171532455515837,
unknown,10000 - 20000,car,0.002130589192925641,
unknown,10000 - 20000,pt,0.08127495675667205,
unknown,10000 - 20000,ride,0.0034955515785563243,
unknown,10000 - 20000,walk,6.500800744487335E-4,
unknown,20000+,bike,6.590572012220343E-4,
unknown,20000+,car,0.0012317691156839,
unknown,20000+,pt,0.031402179897557427,
unknown,20000+,ride,0.0016057119926328547,
unknown,20000+,walk,1.9282771958326636E-4,
