bike_avail,dist_group,main_mode,ref_share,sim_share
yes,0 - 1000,bike,0.04698912487219602,
yes,0 - 1000,car,0.010350504080342545,
yes,0 - 1000,pt,0.002005078100267684,
yes,0 - 1000,ride,0.0025947594982208538,
yes,0 - 1000,walk,0.20633753959789913,
yes,1000 - 2000,bike,0.05672700261397835,
yes,1000 - 2000,car,0.02334919632026469,
yes,1000 - 2000,pt,0.014170631577363242,
yes,1000 - 2000,ride,0.007566742947430185,
yes,1000 - 2000,walk,0.04705114468466599,
yes,2000 - 5000,bike,0.07181957575497981,
yes,2000 - 5000,car,0.05407055126753428,
yes,2000 - 5000,pt,0.06176666900576435,
yes,2000 - 5000,ride,0.016015472342173622,
yes,2000 - 5000,walk,0.013218894993642248,
yes,5000 - 10000,bike,0.03532074465966296,
yes,5000 - 10000,car,0.055207432470111104,
yes,5000 - 10000,pt,0.08166242688776854,
yes,5000 - 10000,ride,0.01246459413877433,
yes,5000 - 10000,walk,0.001461452030304094,
yes,10000 - 20000,bike,0.00947171900707687,
yes,10000 - 20000,car,0.043678018613143035,
yes,10000 - 20000,pt,0.0666479672383282,
yes,10000 - 20000,ride,0.006622958957568501,
yes,10000 - 20000,walk,3.518277954969559E-4,
yes,20000+,bike,8.554476676628036E-4,
yes,20000+,car,0.022583799318947207,
yes,20000+,pt,0.02579374805433979,
yes,20000+,ride,0.003647041013066067,
yes,20000+,walk,1.979344910266161E-4,
no,0 - 1000,bike,0.003901226201686724,
no,0 - 1000,car,0.01105864233025772,
no,0 - 1000,pt,0.005486344364754513,
no,0 - 1000,ride,0.005508506862313706,
no,0 - 1000,walk,0.23710900428666273,
no,1000 - 2000,bike,0.007504623057057731,
no,1000 - 2000,car,0.024841272479000524,
no,1000 - 2000,pt,0.0329707225871216,
no,1000 - 2000,ride,0.008363099312115384,
no,1000 - 2000,walk,0.05990700252256572,
no,2000 - 5000,bike,0.0030356396566586625,
no,2000 - 5000,car,0.054358518223715506,
no,2000 - 5000,pt,0.11169934543132522,
no,2000 - 5000,ride,0.019790988268734277,
no,2000 - 5000,walk,0.014730110159550969,
no,5000 - 10000,bike,0.0017252640513951074,
no,5000 - 10000,car,0.0559531589744763,
no,5000 - 10000,pt,0.11104574218043788,
no,5000 - 10000,ride,0.018667492459615596,
no,5000 - 10000,walk,9.527341528081858E-4,
no,10000 - 20000,bike,1.0772404870398961E-4,
no,10000 - 20000,car,0.047089390669775355,
no,10000 - 20000,pt,0.08253975507167004,
no,10000 - 20000,ride,0.01313319390508646,
no,10000 - 20000,walk,1.1342697602954681E-4,
no,20000+,bike,0.0,
no,20000+,car,0.030346166956882633,
no,20000+,pt,0.030469023737508504,
no,20000+,ride,0.007204882433134224,
no,20000+,walk,3.8699863895556196E-4,
unknown,0 - 1000,bike,0.021968743566019747,
unknown,0 - 1000,car,0.008865973925200344,
unknown,0 - 1000,pt,0.008820595658083127,
unknown,0 - 1000,ride,0.007825311269823323,
unknown,0 - 1000,walk,0.30926153323029304,
unknown,1000 - 2000,bike,0.01989999689794785,
unknown,1000 - 2000,car,0.022040185739975085,
unknown,1000 - 2000,pt,0.03890621393413654,
unknown,1000 - 2000,ride,0.020312569496132762,
unknown,1000 - 2000,walk,0.06940078290988637,
unknown,2000 - 5000,bike,0.010804071418919522,
unknown,2000 - 5000,car,0.042158884698831195,
unknown,2000 - 5000,pt,0.09282163808907375,
unknown,2000 - 5000,ride,0.033425026327763716,
unknown,2000 - 5000,walk,0.014267811127275817,
unknown,5000 - 10000,bike,0.001699610990969753,
unknown,5000 - 10000,car,0.040148655058904824,
unknown,5000 - 10000,pt,0.07910634210857279,
unknown,5000 - 10000,ride,0.018465090116188524,
unknown,5000 - 10000,walk,0.001845543078187315,
unknown,10000 - 20000,bike,1.1814971112985099E-4,
unknown,10000 - 20000,car,0.031554968784413724,
unknown,10000 - 20000,pt,0.04959157127841763,
unknown,10000 - 20000,ride,0.01156390289621145,
unknown,10000 - 20000,walk,0.0012595592388616734,
unknown,20000+,bike,0.0,
unknown,20000+,car,0.019558135426652825,
unknown,20000+,pt,0.01979010252847448,
unknown,20000+,ride,0.004324709516604467,
unknown,20000+,walk,1.9432097704832692E-4,
